dataset,noise,trial,algorithm,mu,accuracy,frobenius,gt_frobenius,time_sec
netscience,0,0,Fugal,,0.667546,16.0,0.0,23.32
netscience,0,0,Fugal_init,0.05,0.683377,0.0,0.0,18.46
netscience,0,0,Fugal_init,0.1,0.683377,0.0,0.0,19.82
netscience,0,0,Fugal_init,0.25,0.683377,0.0,0.0,17.85
netscience,0,0,Fugal_init,0.5,0.683377,0.0,0.0,17.77
netscience,0,0,Fugal_init,1,0.683377,0.0,0.0,17.82
netscience,0,0,Fugal_init,1.5,0.683377,0.0,0.0,17.77
netscience,0,0,Fugal_init,2,0.683377,0.0,0.0,17.8
netscience,0,0,Fugal_init,2.5,0.683377,0.0,0.0,17.72
netscience,0,0,Fugal_init,3,0.683377,0.0,0.0,19.96
netscience,0,0,QAP,,0.263852,820.0,0.0,0.32
netscience,0,0,QAP_init,,0.693931,0.0,0.0,0.05
netscience,0,1,Fugal,,0.69657,24.0,0.0,18.05
netscience,0,1,Fugal_init,0.05,0.709763,0.0,0.0,17.75
netscience,0,1,Fugal_init,0.1,0.709763,0.0,0.0,17.91
netscience,0,1,Fugal_init,0.25,0.709763,0.0,0.0,17.9
netscience,0,1,Fugal_init,0.5,0.709763,0.0,0.0,18.17
netscience,0,1,Fugal_init,1,0.709763,0.0,0.0,17.93
netscience,0,1,Fugal_init,1.5,0.709763,0.0,0.0,19.03
netscience,0,1,Fugal_init,2,0.709763,0.0,0.0,18.08
netscience,0,1,Fugal_init,2.5,0.709763,0.0,0.0,18.03
netscience,0,1,Fugal_init,3,0.709763,0.0,0.0,17.95
netscience,0,1,QAP,,0.356201,836.0,0.0,0.42
netscience,0,1,QAP_init,,0.707124,0.0,0.0,0.07
netscience,0,2,Fugal,,0.691293,32.0,0.0,17.88
netscience,0,2,Fugal_init,0.05,0.712401,0.0,0.0,17.9
netscience,0,2,Fugal_init,0.1,0.712401,0.0,0.0,17.73
netscience,0,2,Fugal_init,0.25,0.712401,0.0,0.0,19.05
netscience,0,2,Fugal_init,0.5,0.712401,0.0,0.0,17.78
netscience,0,2,Fugal_init,1,0.712401,0.0,0.0,18.44
netscience,0,2,Fugal_init,1.5,0.712401,0.0,0.0,18.0
netscience,0,2,Fugal_init,2,0.712401,0.0,0.0,17.95
netscience,0,2,Fugal_init,2.5,0.712401,0.0,0.0,17.83
netscience,0,2,Fugal_init,3,0.712401,0.0,0.0,17.78
netscience,0,2,QAP,,0.329815,772.0,0.0,0.34
netscience,0,2,QAP_init,,0.720317,0.0,0.0,0.05
netscience,5,0,Fugal,,0.651715,98.0,82.0,17.91
netscience,5,0,Fugal_init,0.05,0.656992,138.0,82.0,17.69
netscience,5,0,Fugal_init,0.1,0.6781,82.0,82.0,17.88
netscience,5,0,Fugal_init,0.25,0.683377,82.0,82.0,17.87
netscience,5,0,Fugal_init,0.5,0.6781,82.0,82.0,17.75
netscience,5,0,Fugal_init,1,0.670185,98.0,82.0,17.79
netscience,5,0,Fugal_init,1.5,0.670185,106.0,82.0,17.77
netscience,5,0,Fugal_init,2,0.656992,134.0,82.0,17.74
netscience,5,0,Fugal_init,2.5,0.656992,138.0,82.0,17.7
netscience,5,0,Fugal_init,3,0.656992,138.0,82.0,17.81
netscience,5,0,QAP,,0.176781,1066.0,82.0,1.84
netscience,5,0,QAP_init,,0.686016,90.0,82.0,0.07
netscience,5,1,Fugal,,0.670185,150.0,94.0,18.08
netscience,5,1,Fugal_init,0.05,0.638522,138.0,94.0,17.96
netscience,5,1,Fugal_init,0.1,0.654354,94.0,94.0,17.82
netscience,5,1,Fugal_init,0.25,0.667546,94.0,94.0,17.95
netscience,5,1,Fugal_init,0.5,0.659631,106.0,94.0,17.82
netscience,5,1,Fugal_init,1,0.656992,126.0,94.0,17.69
