dataset,noise,trial,algorithm,mu,lam_step,accuracy,frobenius,gt_frobenius
euroroad,0,0,fugal,2.0,0.2,0.944634,136.0,0.0
euroroad,0,0,fugal,2.0,1.0,0.944634,136.0,0.0
euroroad,0,0,fugal,3.0,0.2,0.944634,136.0,0.0
euroroad,0,0,fugal,3.0,1.0,0.944634,136.0,0.0
euroroad,0,0,qap_init,,,0.951448,0,0
euroroad,0,1,fugal,2.0,0.2,0.939523,128.0,0.0
euroroad,0,1,fugal,2.0,1.0,0.939523,128.0,0.0
euroroad,0,1,fugal,3.0,0.2,0.939523,128.0,0.0
euroroad,0,1,fugal,3.0,1.0,0.939523,128.0,0.0
euroroad,0,1,qap_init,,,0.9523,8,0
euroroad,0,2,fugal,2.0,0.2,0.947189,120.0,0.0
euroroad,0,2,fugal,2.0,1.0,0.947189,120.0,0.0
euroroad,0,2,fugal,3.0,0.2,0.947189,120.0,0.0
euroroad,0,2,fugal,3.0,1.0,0.947189,120.0,0.0
euroroad,0,2,qap_init,,,0.94293,0,0
euroroad,10,0,fugal,2.0,0.2,0.784497,728.0,248.0
euroroad,10,0,fugal,2.0,1.0,0.765758,804.0,248.0
euroroad,10,0,fugal,3.0,0.2,0.782794,704.0,248.0
euroroad,10,0,fugal,3.0,1.0,0.764906,724.0,248.0
euroroad,10,0,fugal_init,3.0,1.0,0.834753,332.0,248.0
euroroad,10,0,qap_init,,,0.833901,292,248
euroroad,10,0,qap_init,,,0.833901,312,248
euroroad,10,1,fugal,2.0,0.2,0.730835,826.0,258.0
euroroad,10,1,fugal,2.0,1.0,0.729983,830.0,258.0
euroroad,10,1,fugal,3.0,0.2,0.716354,890.0,258.0
euroroad,10,1,fugal,3.0,1.0,0.719761,830.0,258.0
euroroad,10,1,fugal_init,3.0,1.0,0.807496,538.0,258.0
euroroad,10,1,qap_init,,,0.791312,402,258
euroroad,10,1,qap_init,,,0.798978,382,258
euroroad,10,2,fugal,2.0,0.2,0.821976,650.0,206.0
euroroad,10,2,fugal,2.0,1.0,0.819421,638.0,206.0
euroroad,10,2,fugal,3.0,0.2,0.809199,594.0,206.0
euroroad,10,2,fugal,3.0,1.0,0.807496,642.0,206.0
euroroad,10,2,fugal_init,3.0,1.0,0.821124,298.0,206.0
euroroad,10,2,qap_init,,,0.832198,302,206
euroroad,15,0,fugal,2.0,0.2,0.405451,1430.0,358.0
euroroad,15,0,fugal,2.0,1.0,0.401193,1438.0,358.0
euroroad,15,0,fugal,3.0,0.2,0.386712,1426.0,358.0
euroroad,15,0,fugal,3.0,1.0,0.379898,1462.0,358.0
euroroad,15,0,fugal_init,3.0,1.0,0.657581,738.0,358.0
euroroad,15,0,qap_init,,,0.755537,486,358
euroroad,15,0,qap_init,,,0.758092,498,358
