dataset,noise,trial,algorithm,mu,lam_step,accuracy,frobenius,gt_frobenius
euroroad,10,0,fugal_init,3.0,1.0,0.834753,332.0,248.0
euroroad,10,1,fugal_init,3.0,1.0,0.807496,538.0,258.0
euroroad,10,2,fugal_init,3.0,1.0,0.821124,298.0,206.0
euroroad,15,0,fugal_init,3.0,1.0,0.657581,738.0,358.0
euroroad,15,1,fugal_init,3.0,1.0,0.640545,932.0,360.0
euroroad,15,2,fugal_init,3.0,1.0,0.731687,774.0,310.0
euroroad,20,0,fugal_init,3.0,1.0,0.402896,1356.0,464.0
euroroad,20,1,fugal_init,3.0,1.0,0.496593,1288.0,464.0
euroroad,20,2,fugal_init,3.0,1.0,0.527257,1302.0,418.0
euroroad,5,0,fugal_init,3.0,1.0,0.901193,130.0,122.0
euroroad,5,1,fugal_init,3.0,1.0,0.890971,162.0,126.0
euroroad,5,2,fugal_init,3.0,1.0,0.878194,130.0,102.0
netscience,10,0,fugal_init,0.3,0.4,0.662269,188.0,188.0
netscience,10,0,fugal_init,0.5,0.4,0.672823,192.0,188.0
netscience,10,1,fugal_init,0.3,0.4,0.672823,206.0,174.0
netscience,10,1,fugal_init,0.5,0.4,0.699208,190.0,174.0
netscience,10,2,fugal_init,0.3,0.4,0.649077,190.0,186.0
netscience,10,2,fugal_init,0.5,0.4,0.651715,194.0,186.0
netscience,15,0,fugal_init,0.3,0.4,0.532982,408.0,276.0
netscience,15,0,fugal_init,0.5,0.4,0.583113,316.0,276.0
netscience,15,1,fugal_init,0.3,0.4,0.691293,288.0,268.0
netscience,15,1,fugal_init,0.5,0.4,0.688654,284.0,268.0
netscience,15,2,fugal_init,0.3,0.4,0.627968,310.0,278.0
netscience,15,2,fugal_init,0.5,0.4,0.635884,318.0,278.0
netscience,20,0,fugal_init,0.3,0.4,0.474934,528.0,352.0
netscience,20,0,fugal_init,0.5,0.4,0.514512,464.0,352.0
netscience,20,1,fugal_init,0.3,0.4,0.693931,390.0,354.0
netscience,20,1,fugal_init,0.5,0.4,0.688654,394.0,354.0
netscience,20,2,fugal_init,0.3,0.4,0.562005,404.0,360.0
netscience,20,2,fugal_init,0.5,0.4,0.577836,416.0,360.0
voles,10,0,fugal_init,0.3,0.6,0.949509,448.0,440.0
voles,10,1,fugal_init,0.3,0.6,0.928471,460.0,460.0
voles,10,2,fugal_init,0.3,0.6,0.929874,364.0,364.0
voles,15,0,fugal_init,0.5,0.2,0.932679,690.0,678.0
voles,15,1,fugal_init,0.5,0.2,0.934081,698.0,698.0
voles,15,2,fugal_init,0.5,0.2,0.911641,656.0,632.0
voles,20,0,fugal_init,0.3,0.8,0.931276,878.0,874.0
voles,20,1,fugal_init,0.3,0.8,0.908836,938.0,934.0
voles,20,2,fugal_init,0.3,0.8,0.892006,858.0,854.0
