dataset,noise,trial,algorithm,mu,lam_step,accuracy,frobenius,gt_frobenius
euroroad,5,0,fugal_init,0.0,1.0,0.872232,346.0,122.0
euroroad,5,0,fugal_init,1.0,1.0,0.649063,1722.0,122.0
euroroad,5,0,fugal_init,2.0,1.0,0.660988,1542.0,122.0
euroroad,5,0,fugal_init,3.0,1.0,0.678876,1390.0,122.0
euroroad,5,1,fugal_init,0.0,1.0,0.890119,386.0,126.0
euroroad,5,1,fugal_init,1.0,1.0,0.639693,1950.0,126.0
euroroad,5,1,fugal_init,2.0,1.0,0.647359,1666.0,126.0
euroroad,5,1,fugal_init,3.0,1.0,0.664395,1626.0,126.0
euroroad,5,2,fugal_init,0.0,1.0,0.888416,218.0,102.0
euroroad,5,2,fugal_init,1.0,1.0,0.658433,1706.0,102.0
euroroad,5,2,fugal_init,2.0,1.0,0.665247,1554.0,102.0
euroroad,5,2,fugal_init,3.0,1.0,0.682283,1370.0,102.0
euroroad,10,0,fugal_init,0.0,1.0,0.793867,956.0,248.0
euroroad,10,0,fugal_init,1.0,1.0,0.379046,3116.0,248.0
euroroad,10,0,fugal_init,2.0,1.0,0.370528,3040.0,248.0
euroroad,10,0,fugal_init,3.0,1.0,0.365417,3052.0,248.0
euroroad,10,1,fugal_init,0.0,1.0,0.759796,994.0,258.0
euroroad,10,1,fugal_init,1.0,1.0,0.367121,3098.0,258.0
euroroad,10,1,fugal_init,2.0,1.0,0.374787,2894.0,258.0
euroroad,10,1,fugal_init,3.0,1.0,0.389267,2758.0,258.0
euroroad,10,2,fugal_init,0.0,1.0,0.809199,898.0,206.0
euroroad,10,2,fugal_init,1.0,1.0,0.434412,3062.0,206.0
euroroad,10,2,fugal_init,2.0,1.0,0.440375,2846.0,206.0
euroroad,10,2,fugal_init,3.0,1.0,0.448893,2762.0,206.0
euroroad,15,0,fugal_init,0.0,1.0,0.645656,1810.0,358.0
euroroad,15,0,fugal_init,1.0,1.0,0.232538,3706.0,358.0
euroroad,15,0,fugal_init,2.0,1.0,0.238501,3602.0,358.0
euroroad,15,0,fugal_init,3.0,1.0,0.235945,3538.0,358.0
euroroad,15,1,fugal_init,0.0,1.0,0.634583,1668.0,360.0
euroroad,15,1,fugal_init,1.0,1.0,0.217206,3548.0,360.0
euroroad,15,1,fugal_init,2.0,1.0,0.22402,3424.0,360.0
euroroad,15,1,fugal_init,3.0,1.0,0.22402,3348.0,360.0
euroroad,15,2,fugal_init,0.0,1.0,0.66184,1646.0,310.0
euroroad,15,2,fugal_init,1.0,1.0,0.278535,3458.0,310.0
euroroad,15,2,fugal_init,2.0,1.0,0.295571,3298.0,310.0
euroroad,15,2,fugal_init,3.0,1.0,0.297274,3230.0,310.0
euroroad,20,0,fugal_init,0.0,1.0,0.437819,2740.0,464.0
euroroad,20,0,fugal_init,1.0,1.0,0.131175,3900.0,464.0
euroroad,20,0,fugal_init,2.0,1.0,0.121806,3844.0,464.0
euroroad,20,0,fugal_init,3.0,1.0,0.126065,3788.0,464.0
euroroad,20,1,fugal_init,0.0,1.0,0.448893,2640.0,464.0
euroroad,20,1,fugal_init,1.0,1.0,0.126065,4008.0,464.0
euroroad,20,1,fugal_init,2.0,1.0,0.127768,3968.0,464.0
euroroad,20,1,fugal_init,3.0,1.0,0.125213,3860.0,464.0
euroroad,20,2,fugal_init,0.0,1.0,0.477853,2550.0,418.0
euroroad,20,2,fugal_init,1.0,1.0,0.180579,3778.0,418.0
euroroad,20,2,fugal_init,2.0,1.0,0.178024,3690.0,418.0
euroroad,20,2,fugal_init,3.0,1.0,0.173765,3678.0,418.0
