dataset,noise,trial,algorithm,mu,lam_step,accuracy,frobenius,gt_frobenius
euroroad,5,0,fugal_init,0.0,1.0,0.839012,602.0,122.0
euroroad,5,0,fugal_init,1.0,1.0,0.851789,366.0,122.0
euroroad,5,0,fugal_init,2.0,1.0,0.891823,198.0,122.0
euroroad,5,0,fugal_init,3.0,1.0,0.89523,182.0,122.0
euroroad,5,1,fugal_init,0.0,1.0,0.835605,782.0,126.0
euroroad,5,1,fugal_init,1.0,1.0,0.841567,526.0,126.0
euroroad,5,1,fugal_init,2.0,1.0,0.892675,234.0,126.0
euroroad,5,1,fugal_init,3.0,1.0,0.88586,234.0,126.0
euroroad,5,2,fugal_init,0.0,1.0,0.86201,446.0,102.0
euroroad,5,2,fugal_init,1.0,1.0,0.856899,362.0,102.0
euroroad,5,2,fugal_init,2.0,1.0,0.87138,286.0,102.0
euroroad,5,2,fugal_init,3.0,1.0,0.879898,234.0,102.0
euroroad,10,0,fugal_init,0.0,1.0,0.606474,2380.0,248.0
euroroad,10,0,fugal_init,1.0,1.0,0.716354,1072.0,248.0
euroroad,10,0,fugal_init,2.0,1.0,0.768313,744.0,248.0
euroroad,10,0,fugal_init,3.0,1.0,0.797274,628.0,248.0
euroroad,10,1,fugal_init,0.0,1.0,0.597956,2242.0,258.0
euroroad,10,1,fugal_init,1.0,1.0,0.681431,1042.0,258.0
euroroad,10,1,fugal_init,2.0,1.0,0.739353,710.0,258.0
euroroad,10,1,fugal_init,3.0,1.0,0.747019,714.0,258.0
euroroad,10,2,fugal_init,0.0,1.0,0.663543,2126.0,206.0
euroroad,10,2,fugal_init,1.0,1.0,0.708688,1130.0,206.0
euroroad,10,2,fugal_init,2.0,1.0,0.813458,526.0,206.0
euroroad,10,2,fugal_init,3.0,1.0,0.821976,454.0,206.0
euroroad,15,0,fugal_init,0.0,1.0,0.407155,3450.0,358.0
euroroad,15,0,fugal_init,1.0,1.0,0.379046,2446.0,358.0
euroroad,15,0,fugal_init,2.0,1.0,0.613288,1374.0,358.0
euroroad,15,0,fugal_init,3.0,1.0,0.561329,1398.0,358.0
euroroad,15,1,fugal_init,0.0,1.0,0.414821,3408.0,360.0
euroroad,15,1,fugal_init,1.0,1.0,0.52385,1740.0,360.0
euroroad,15,1,fugal_init,2.0,1.0,0.605622,1204.0,360.0
euroroad,15,1,fugal_init,3.0,1.0,0.577513,1252.0,360.0
euroroad,15,2,fugal_init,0.0,1.0,0.418228,3438.0,310.0
euroroad,15,2,fugal_init,1.0,1.0,0.554514,1634.0,310.0
euroroad,15,2,fugal_init,2.0,1.0,0.644804,1050.0,310.0
euroroad,15,2,fugal_init,3.0,1.0,0.60477,1106.0,310.0
euroroad,20,0,fugal_init,0.0,1.0,0.252981,4028.0,464.0
euroroad,20,0,fugal_init,1.0,1.0,0.286201,2784.0,464.0
euroroad,20,0,fugal_init,2.0,1.0,0.281942,2300.0,464.0
euroroad,20,0,fugal_init,3.0,1.0,0.230835,2388.0,464.0
euroroad,20,1,fugal_init,0.0,1.0,0.256388,3980.0,464.0
euroroad,20,1,fugal_init,1.0,1.0,0.411414,2316.0,464.0
euroroad,20,1,fugal_init,2.0,1.0,0.435264,2012.0,464.0
euroroad,20,1,fugal_init,3.0,1.0,0.424191,1936.0,464.0
euroroad,20,2,fugal_init,0.0,1.0,0.269165,4042.0,418.0
euroroad,20,2,fugal_init,1.0,1.0,0.283646,2826.0,418.0
euroroad,20,2,fugal_init,2.0,1.0,0.366269,2130.0,418.0
euroroad,20,2,fugal_init,3.0,1.0,0.389267,1926.0,418.0
