dataset,noise,trial,algorithm,mu,lam_step,accuracy,frobenius,gt_frobenius
euroroad,0,0,fugal_init,0.05,0.2,0.932709,168.0,0.0
euroroad,0,0,fugal_init,0.05,0.4,0.935264,176.0,0.0
euroroad,0,0,fugal_init,0.05,0.6,0.93356,192.0,0.0
euroroad,0,0,fugal_init,0.05,0.8,0.930153,180.0,0.0
euroroad,0,0,fugal_init,0.05,1.0,0.945486,112.0,0.0
euroroad,0,0,fugal_init,0.1,0.2,0.934412,172.0,0.0
euroroad,0,0,fugal_init,0.1,0.4,0.942078,192.0,0.0
euroroad,0,0,fugal_init,0.1,0.6,0.944634,156.0,0.0
euroroad,0,0,fugal_init,0.1,0.8,0.931005,172.0,0.0
euroroad,0,0,fugal_init,0.1,1.0,0.946337,92.0,0.0
euroroad,0,0,fugal_init,0.3,0.2,0.946337,144.0,0.0
euroroad,0,0,fugal_init,0.3,0.4,0.939523,148.0,0.0
euroroad,0,0,fugal_init,0.3,0.6,0.94293,148.0,0.0
euroroad,0,0,fugal_init,0.3,0.8,0.944634,148.0,0.0
euroroad,0,0,fugal_init,0.3,1.0,0.949744,120.0,0.0
euroroad,0,0,fugal_init,0.5,0.2,0.944634,136.0,0.0
euroroad,0,0,fugal_init,0.5,0.4,0.946337,136.0,0.0
euroroad,0,0,fugal_init,0.5,0.6,0.944634,136.0,0.0
euroroad,0,0,fugal_init,0.5,0.8,0.941227,152.0,0.0
euroroad,0,0,fugal_init,0.5,1.0,0.948041,72.0,0.0
euroroad,0,0,fugal_init,1,0.2,0.946337,136.0,0.0
euroroad,0,0,fugal_init,1,0.4,0.946337,136.0,0.0
euroroad,0,0,fugal_init,1,0.6,0.945486,136.0,0.0
euroroad,0,0,fugal_init,1,0.8,0.947189,108.0,0.0
euroroad,0,0,fugal_init,1,1.0,0.953152,24.0,0.0
euroroad,0,0,fugal_init,2,0.2,0.946337,136.0,0.0
euroroad,0,0,fugal_init,2,0.4,0.946337,136.0,0.0
euroroad,0,0,fugal_init,2,0.6,0.950596,28.0,0.0
euroroad,0,0,fugal_init,2,0.8,0.949744,0.0,0.0
euroroad,0,0,fugal_init,2,1.0,0.949744,0.0,0.0
euroroad,0,0,qap_init,,,0.951448,0.0,0.0
euroroad,0,1,fugal_init,0.05,0.2,0.936116,144.0,0.0
euroroad,0,1,fugal_init,0.05,0.4,0.931857,180.0,0.0
euroroad,0,1,fugal_init,0.05,0.6,0.935264,176.0,0.0
euroroad,0,1,fugal_init,0.05,0.8,0.930153,196.0,0.0
euroroad,0,1,fugal_init,0.05,1.0,0.948893,128.0,0.0
euroroad,0,1,fugal_init,0.1,0.2,0.943782,180.0,0.0
