dataset,algorithm,noise,accuracy,frobenius_gap,comments
euroroad,Fugal,0,0.9438,128.0000,mu=N/A
euroroad,Fugal_init,0,0.9458,0.0000,mu=2.0
euroroad,QAP,0,0.0125,2130.6667,mu=N/A
euroroad,QAP_init,0,0.9489,2.6667,mu=N/A
euroroad,Fugal,5,0.8472,376.0000,mu=N/A
euroroad,Fugal_init,5,0.8489,200.0000,mu=2.5
euroroad,QAP,5,0.0116,1974.6667,mu=N/A
euroroad,QAP_init,5,0.8938,30.6667,mu=N/A
euroroad,Fugal,10,0.7323,704.0000,mu=N/A
euroroad,Fugal_init,10,0.7376,502.6667,mu=2.5
euroroad,QAP,10,0.0054,1810.6667,mu=N/A
euroroad,QAP_init,10,0.8191,101.3333,mu=N/A
euroroad,Fugal,15,0.4821,1402.6667,mu=N/A
euroroad,Fugal_init,15,0.4818,1292.0000,mu=2.0
euroroad,QAP,15,0.0082,1614.6667,mu=N/A
euroroad,QAP_init,15,0.7405,138.6667,mu=N/A
euroroad,Fugal,20,0.2482,2017.3333,mu=N/A
euroroad,Fugal_init,20,0.2649,1822.6667,mu=3.0
euroroad,QAP,20,0.0045,1448.0000,mu=N/A
euroroad,QAP_init,20,0.5943,290.6667,mu=N/A
highschool,Fugal,0,1.0000,0.0000,mu=N/A
highschool,Fugal_init,0,1.0000,0.0000,mu=0.05
highschool,QAP,0,1.0000,0.0000,mu=N/A
highschool,QAP_init,0,1.0000,0.0000,mu=N/A
highschool,Fugal,5,1.0000,0.0000,mu=N/A
highschool,Fugal_init,5,1.0000,0.0000,mu=0.05
highschool,QAP,5,0.7431,2825.3333,mu=N/A
highschool,QAP_init,5,1.0000,0.0000,mu=N/A
highschool,Fugal,10,1.0000,0.0000,mu=N/A
highschool,Fugal_init,10,1.0000,0.0000,mu=0.05
highschool,QAP,10,0.6922,3450.6667,mu=N/A
highschool,QAP_init,10,1.0000,0.0000,mu=N/A
highschool,Fugal,15,1.0000,0.0000,mu=N/A
highschool,Fugal_init,15,1.0000,0.0000,mu=0.05
highschool,QAP,15,0.3986,6284.0000,mu=N/A
highschool,QAP_init,15,1.0000,0.0000,mu=N/A
highschool,Fugal,20,1.0000,0.0000,mu=N/A
highschool,Fugal_init,20,1.0000,0.0000,mu=0.05
highschool,QAP,20,0.2844,5910.6667,mu=N/A
highschool,QAP_init,20,1.0000,0.0000,mu=N/A
multimanga,Fugal,0,0.8463,2.6667,mu=N/A
multimanga,Fugal_init,0,0.8440,0.0000,mu=0.05
multimanga,QAP,0,0.4824,2428.0000,mu=N/A
multimanga,QAP_init,0,0.8473,0.0000,mu=N/A
multimanga,Fugal,5,0.8260,8.0000,mu=N/A
multimanga,Fugal_init,5,0.8293,1.3333,mu=0.25
multimanga,QAP,5,0.3632,3730.6667,mu=N/A
multimanga,QAP_init,5,0.8207,24.0000,mu=N/A
multimanga,Fugal,10,0.7888,145.3333,mu=N/A
multimanga,Fugal_init,10,0.7457,524.0000,mu=1.5
multimanga,QAP,10,0.3516,3160.0000,mu=N/A
multimanga,QAP_init,10,0.7148,681.3333,mu=N/A
multimanga,Fugal,15,0.7112,632.0000,mu=N/A
multimanga,Fugal_init,15,0.6444,1160.0000,mu=0.5
multimanga,QAP,15,0.3861,2869.3333,mu=N/A
multimanga,QAP_init,15,0.6384,1434.6667,mu=N/A
multimanga,Fugal,20,0.6348,1108.0000,mu=N/A
multimanga,Fugal_init,20,0.6089,1368.0000,mu=1.0
multimanga,QAP,20,0.2908,3702.6667,mu=N/A
multimanga,QAP_init,20,0.5684,2322.6667,mu=N/A
netscience,Fugal,0,0.6851,24.0000,mu=N/A
netscience,Fugal_init,0,0.7018,0.0000,mu=0.05
netscience,QAP,0,0.3166,809.3333,mu=N/A
netscience,QAP_init,0,0.7071,0.0000,mu=N/A
netscience,Fugal,5,0.6658,45.3333,mu=N/A
netscience,Fugal_init,5,0.6869,0.0000,mu=0.25
netscience,QAP,5,0.1179,1164.0000,mu=N/A
netscience,QAP_init,5,0.6913,5.3333,mu=N/A
netscience,Fugal,10,0.6412,73.3333,mu=N/A
netscience,Fugal_init,10,0.6684,21.3333,mu=0.5
netscience,QAP,10,0.0844,1097.3333,mu=N/A
netscience,QAP_init,10,0.6693,18.6667,mu=N/A
netscience,Fugal,15,0.6121,88.0000,mu=N/A
netscience,Fugal_init,15,0.6236,54.6667,mu=0.25
netscience,QAP,15,0.0888,982.6667,mu=N/A
netscience,QAP_init,15,0.6420,54.6667,mu=N/A
netscience,Fugal,20,0.5462,165.3333,mu=N/A
netscience,Fugal_init,20,0.5655,118.6667,mu=0.5
netscience,QAP,20,0.0440,996.0000,mu=N/A
netscience,QAP_init,20,0.5506,166.6667,mu=N/A
voles,Fugal,0,0.9481,0.0000,mu=N/A
voles,Fugal_init,0,0.9467,0.0000,mu=0.05
voles,QAP,0,0.6910,868.0000,mu=N/A
voles,QAP_init,0,0.9458,0.0000,mu=N/A
voles,Fugal,5,0.9416,2.6667,mu=N/A
voles,Fugal_init,5,0.9453,0.0000,mu=0.5
voles,QAP,5,0.1697,3777.3333,mu=N/A
voles,QAP_init,5,0.9458,0.0000,mu=N/A
voles,Fugal,10,0.9355,24.0000,mu=N/A
voles,Fugal_init,10,0.9369,8.0000,mu=0.1
voles,QAP,10,0.1627,3454.6667,mu=N/A
voles,QAP_init,10,0.9420,0.0000,mu=N/A
voles,Fugal,15,0.9173,41.3333,mu=N/A
voles,Fugal_init,15,0.9271,24.0000,mu=0.5
voles,QAP,15,0.0332,3726.6667,mu=N/A
voles,QAP_init,15,0.9355,2.6667,mu=N/A
voles,Fugal,20,0.8934,92.0000,mu=N/A
voles,Fugal_init,20,0.8934,41.3333,mu=0.25
voles,QAP,20,0.0388,3449.3333,mu=N/A
voles,QAP_init,20,0.9084,10.6667,mu=N/A
