dataset,algorithm,noise,accuracy,frobenius_gap,comments
euroroad,fugal_init,0,0.9458,0.0000,"mu=2.0, lam_step=0.8"
euroroad,qap_init,0,0.9489,2.6667,"mu=N/A, lam_step=N/A"
euroroad,fugal_init,5,0.8822,53.3333,"mu=3.0, lam_step=1.0"
euroroad,qap_init,5,0.8938,30.6667,"mu=N/A, lam_step=N/A"
euroroad,fugal_init,10,0.7907,221.3333,"mu=3.0, lam_step=1.0"
euroroad,qap_init,10,0.8181,94.4000,"mu=N/A, lam_step=N/A"
euroroad,fugal_init,15,0.6078,784.6667,"mu=2.0, lam_step=0.2"
euroroad,qap_init,15,0.7385,140.0000,"mu=N/A, lam_step=N/A"
euroroad,fugal_init,20,0.3779,1223.3333,"mu=2.0, lam_step=0.2"
euroroad,qap_init,20,0.5931,305.3333,"mu=N/A, lam_step=N/A"
highschool,fugal_init,0,1.0000,0.0000,"mu=0.05, lam_step=0.2"
highschool,qap_init,0,1.0000,0.0000,"mu=N/A, lam_step=N/A"
highschool,fugal_init,5,1.0000,0.0000,"mu=0.05, lam_step=0.2"
highschool,qap_init,5,1.0000,0.0000,"mu=N/A, lam_step=N/A"
highschool,fugal_init,10,1.0000,0.0000,"mu=0.05, lam_step=0.2"
highschool,qap_init,10,1.0000,0.0000,"mu=N/A, lam_step=N/A"
highschool,fugal_init,15,1.0000,0.0000,"mu=0.05, lam_step=0.2"
highschool,qap_init,15,1.0000,0.0000,"mu=N/A, lam_step=N/A"
highschool,fugal_init,20,1.0000,0.0000,"mu=0.05, lam_step=0.2"
highschool,qap_init,20,1.0000,0.0000,"mu=N/A, lam_step=N/A"
multimanga,fugal_init,0,0.8450,0.0000,"mu=0.05, lam_step=0.4"
multimanga,qap_init,0,0.8473,0.0000,"mu=N/A, lam_step=N/A"
multimanga,fugal_init,5,0.8244,1.3333,"mu=0.3, lam_step=0.2"
multimanga,qap_init,5,0.8207,24.0000,"mu=N/A, lam_step=N/A"
multimanga,fugal_init,10,0.7454,517.3333,"mu=1.0, lam_step=0.4"
multimanga,qap_init,10,0.7151,682.6667,"mu=N/A, lam_step=N/A"
multimanga,fugal_init,15,0.6587,1108.0000,"mu=0.5, lam_step=0.2"
multimanga,qap_init,15,0.6338,1438.6667,"mu=N/A, lam_step=N/A"
multimanga,fugal_init,20,0.6165,1316.0000,"mu=1.0, lam_step=0.2"
multimanga,qap_init,20,0.5674,2338.6667,"mu=N/A, lam_step=N/A"
netscience,fugal_init,0,0.6948,0.0000,"mu=0.05, lam_step=0.4"
netscience,qap_init,0,0.7071,0.0000,"mu=N/A, lam_step=N/A"
netscience,fugal_init,5,0.6843,0.0000,"mu=0.3, lam_step=0.2"
netscience,qap_init,5,0.6913,5.3333,"mu=N/A, lam_step=N/A"
netscience,fugal_init,10,0.6684,18.6667,"mu=0.5, lam_step=0.2"
netscience,qap_init,10,0.6693,18.6667,"mu=N/A, lam_step=N/A"
netscience,fugal_init,15,0.6174,45.3333,"mu=0.3, lam_step=0.4"
netscience,qap_init,15,0.6420,54.6667,"mu=N/A, lam_step=N/A"
netscience,fugal_init,20,0.5532,106.6667,"mu=0.3, lam_step=0.2"
netscience,qap_init,20,0.5504,184.8000,"mu=N/A, lam_step=N/A"
voles,fugal_init,0,0.9500,0.0000,"mu=0.05, lam_step=0.2"
voles,qap_init,0,0.9458,0.0000,"mu=N/A, lam_step=N/A"
voles,fugal_init,5,0.9444,0.0000,"mu=0.5, lam_step=0.2"
voles,qap_init,5,0.9458,0.0000,"mu=N/A, lam_step=N/A"
voles,fugal_init,10,0.9383,6.6667,"mu=0.3, lam_step=0.6"
voles,qap_init,10,0.9420,0.0000,"mu=N/A, lam_step=N/A"
voles,fugal_init,15,0.9223,20.0000,"mu=0.5, lam_step=0.2"
voles,qap_init,15,0.9355,2.6667,"mu=N/A, lam_step=N/A"
voles,fugal_init,20,0.8986,26.6667,"mu=0.3, lam_step=0.8"
voles,qap_init,20,0.9084,10.6667,"mu=N/A, lam_step=N/A"
