dataset,algorithm,noise,accuracy,frobenius_gap,comments
euroroad,fugal,0,0.9438,128.0000,"mu=2.0, lam_step=0.2"
euroroad,qap_init,0,0.9489,2.6667,"mu=N/A, lam_step=N/A"
euroroad,fugal,5,0.8796,260.0000,"mu=2.0, lam_step=1.0"
euroroad,fugal_init,5,0.8901,24.0000,"mu=3.0, lam_step=1.0"
euroroad,qap_init,5,0.8938,30.6667,"mu=N/A, lam_step=N/A"
euroroad,fugal,10,0.7694,492.0000,"mu=3.0, lam_step=0.2"
euroroad,fugal_init,10,0.8211,152.0000,"mu=3.0, lam_step=1.0"
euroroad,qap_init,10,0.8181,94.4000,"mu=N/A, lam_step=N/A"
euroroad,fugal,15,0.4886,982.6667,"mu=3.0, lam_step=0.2"
euroroad,fugal_init,15,0.6766,472.0000,"mu=3.0, lam_step=1.0"
euroroad,qap_init,15,0.7385,140.0000,"mu=N/A, lam_step=N/A"
euroroad,fugal,20,0.2192,1370.6667,"mu=3.0, lam_step=0.2"
euroroad,fugal_init,20,0.4756,866.6667,"mu=3.0, lam_step=1.0"
euroroad,qap_init,20,0.5931,305.3333,"mu=N/A, lam_step=N/A"
highschool,fugal,0,1.0000,0.0000,"mu=0.2, lam_step=0.2"
highschool,fugal_init,0,1.0000,0.0000,"mu=0.2, lam_step=0.2"
highschool,qap_init,0,1.0000,0.0000,"mu=N/A, lam_step=N/A"
highschool,fugal,5,1.0000,0.0000,"mu=0.2, lam_step=0.2"
highschool,fugal_init,5,1.0000,0.0000,"mu=0.2, lam_step=0.2"
highschool,qap_init,5,1.0000,0.0000,"mu=N/A, lam_step=N/A"
highschool,fugal,10,1.0000,0.0000,"mu=0.2, lam_step=0.2"
highschool,fugal_init,10,1.0000,0.0000,"mu=0.2, lam_step=0.2"
highschool,qap_init,10,1.0000,0.0000,"mu=N/A, lam_step=N/A"
highschool,fugal,15,1.0000,0.0000,"mu=0.2, lam_step=0.2"
highschool,fugal_init,15,1.0000,0.0000,"mu=0.2, lam_step=0.2"
highschool,qap_init,15,1.0000,0.0000,"mu=N/A, lam_step=N/A"
highschool,fugal,20,1.0000,0.0000,"mu=0.2, lam_step=0.2"
highschool,fugal_init,20,1.0000,0.0000,"mu=0.2, lam_step=0.2"
highschool,qap_init,20,1.0000,0.0000,"mu=N/A, lam_step=N/A"
multimanga,fugal,0,0.8486,2.6667,"mu=0.3, lam_step=0.2"
multimanga,fugal_init,0,0.8436,2.6667,"mu=0.3, lam_step=0.2"
multimanga,qap_init,0,0.8473,0.0000,"mu=N/A, lam_step=N/A"
multimanga,fugal,5,0.8154,72.0000,"mu=1.0, lam_step=0.2"
multimanga,fugal_init,5,0.8181,72.0000,"mu=1.0, lam_step=0.2"
multimanga,qap_init,5,0.8207,24.0000,"mu=N/A, lam_step=N/A"
multimanga,fugal,10,0.7839,158.6667,"mu=1.0, lam_step=0.2"
multimanga,fugal_init,10,0.7072,629.3333,"mu=1.0, lam_step=0.2"
multimanga,qap_init,10,0.7151,682.6667,"mu=N/A, lam_step=N/A"
multimanga,fugal,15,0.6989,720.0000,"mu=1.0, lam_step=0.2"
multimanga,fugal_init,15,0.6232,1344.0000,"mu=1.0, lam_step=0.2"
multimanga,qap_init,15,0.6338,1438.6667,"mu=N/A, lam_step=N/A"
multimanga,fugal,20,0.6218,1165.3333,"mu=1.0, lam_step=0.2"
multimanga,fugal_init,20,0.5853,1546.6667,"mu=1.0, lam_step=0.2"
multimanga,qap_init,20,0.5674,2338.6667,"mu=N/A, lam_step=N/A"
netscience,fugal,0,0.6860,26.6667,"mu=0.3, lam_step=0.4"
netscience,qap_init,0,0.7071,0.0000,"mu=N/A, lam_step=N/A"
netscience,fugal,5,0.6693,26.6667,"mu=0.3, lam_step=0.4"
netscience,qap_init,5,0.6913,5.3333,"mu=N/A, lam_step=N/A"
netscience,fugal,10,0.6658,22.6667,"mu=0.3, lam_step=0.4"
netscience,fugal_init,10,0.6746,9.3333,"mu=0.5, lam_step=0.4"
netscience,qap_init,10,0.6693,18.6667,"mu=N/A, lam_step=N/A"
netscience,fugal,15,0.6332,40.0000,"mu=0.3, lam_step=0.4"
netscience,fugal_init,15,0.6359,32.0000,"mu=0.5, lam_step=0.4"
netscience,qap_init,15,0.6420,54.6667,"mu=N/A, lam_step=N/A"
netscience,fugal,20,0.5998,93.3333,"mu=0.5, lam_step=0.4"
netscience,fugal_init,20,0.5937,69.3333,"mu=0.5, lam_step=0.4"
netscience,qap_init,20,0.5504,184.8000,"mu=N/A, lam_step=N/A"
voles,fugal,0,0.9472,0.0000,"mu=0.3, lam_step=0.2"
voles,qap_init,0,0.9458,0.0000,"mu=N/A, lam_step=N/A"
voles,fugal,5,0.9416,2.6667,"mu=0.3, lam_step=0.2"
voles,qap_init,5,0.9458,0.0000,"mu=N/A, lam_step=N/A"
voles,fugal,10,0.9350,9.3333,"mu=0.3, lam_step=0.2"
voles,fugal_init,10,0.9360,2.6667,"mu=0.3, lam_step=0.6"
voles,qap_init,10,0.9420,0.0000,"mu=N/A, lam_step=N/A"
voles,fugal,15,0.9252,6.6667,"mu=0.3, lam_step=0.2"
voles,fugal_init,15,0.9261,12.0000,"mu=0.5, lam_step=0.2"
voles,qap_init,15,0.9355,2.6667,"mu=N/A, lam_step=N/A"
voles,fugal,20,0.9187,17.3333,"mu=0.3, lam_step=0.8"
voles,fugal_init,20,0.9107,4.0000,"mu=0.3, lam_step=0.8"
voles,qap_init,20,0.9084,10.6667,"mu=N/A, lam_step=N/A"
