dataset,noise,trial,algorithm,accuracy,frobenius,gt_frobenius,time_sec,,
netscience,0,0,Fugal,0.667546,16,0,28.09,,
netscience,0,0,Fugal_init,0.683377,0,0,17.72,,
netscience,0,0,QAP,0.263852,820,0,0.35,,
netscience,0,0,QAP_init,0.693931,0,0,0.08,,
netscience,0,1,Fugal,0.69657,24,0,17.68,,
netscience,0,1,Fugal_init,0.709763,0,0,17.63,,
netscience,0,1,QAP,0.356201,836,0,0.32,,
netscience,0,1,QAP_init,0.707124,0,0,0.09,,
netscience,0,2,Fugal,0.691293,32,0,17.55,,
netscience,0,2,Fugal_init,0.712401,0,0,17.87,,
netscience,0,2,QAP,0.329815,772,0,0.39,,
netscience,0,2,QAP_init,0.720317,0,0,0.09,,
netscience,5,0,Fugal,0.651715,98,82,17.73,,
netscience,5,0,Fugal_init,0.670185,98,82,17.95,,
netscience,5,0,QAP,0.176781,1066,82,0.38,,
netscience,5,0,QAP_init,0.686016,90,82,0.08,,
netscience,5,1,Fugal,0.670185,150,94,17.68,,
netscience,5,1,Fugal_init,0.656992,126,94,18.03,,
netscience,5,1,QAP,0.131926,1270,94,0.46,,
netscience,5,1,QAP_init,0.659631,98,94,0.09,,
netscience,5,2,Fugal,0.675462,148,84,17.53,,
netscience,5,2,Fugal_init,0.704485,108,84,17.27,,
netscience,5,2,QAP,0.044855,1416,84,0.38,,
netscience,5,2,QAP_init,0.728232,88,84,0.09,,
netscience,10,0,Fugal,0.604222,252,188,17.42,,
netscience,10,0,Fugal_init,0.680739,224,188,17.43,,
netscience,10,0,QAP,0.058047,1456,188,1.7,,
netscience,10,0,QAP_init,0.69657,212,188,0.07,,
netscience,10,1,Fugal,0.683377,254,174,17.49,,
netscience,10,1,Fugal_init,0.670185,202,174,17.4,,
netscience,10,1,QAP,0.100264,1150,174,0.43,,
netscience,10,1,QAP_init,0.656992,198,174,0.11,,
netscience,10,2,Fugal,0.635884,262,186,17.55,,
netscience,10,2,Fugal_init,0.635884,242,186,17.31,,
netscience,10,2,QAP,0.094987,1234,186,0.33,,
netscience,10,2,QAP_init,0.654354,194,186,0.08,,
netscience,15,0,Fugal,0.622691,344,276,17.39,,
netscience,15,0,Fugal_init,0.609499,328,276,17.31,,
netscience,15,0,QAP,0.092348,1252,276,0.68,,
netscience,15,0,QAP_init,0.577836,408,276,0.13,,
netscience,15,1,Fugal,0.641161,364,268,17.44,,
netscience,15,1,Fugal_init,0.641161,344,268,17.2,,
netscience,15,1,QAP,0.094987,1212,268,0.32,,
netscience,15,1,QAP_init,0.688654,280,268,0.08,,
netscience,15,2,Fugal,0.572559,378,278,17.48,,
netscience,15,2,Fugal_init,0.643799,338,278,17.52,,
netscience,15,2,QAP,0.079156,1306,278,0.36,,
netscience,15,2,QAP_init,0.659631,298,278,0.09,,
netscience,20,0,Fugal,0.538259,500,352,17.48,,
netscience,20,0,Fugal_init,0.527704,480,352,17.47,,
netscience,20,0,QAP,0.047493,1400,352,0.32,,
netscience,20,0,QAP_init,0.530343,616,352,0.32,,
netscience,20,1,Fugal,0.538259,570,354,17.41,,
netscience,20,1,Fugal_init,0.546174,534,354,17.42,,
netscience,20,1,QAP,0.058047,1274,354,12.22,,
netscience,20,1,QAP_init,0.577836,530,354,7.28,,
netscience,20,2,Fugal,0.562005,492,360,17.33,,
netscience,20,2,Fugal_init,0.562005,456,360,17.47,,
netscience,20,2,QAP,0.026385,1380,360,0.54,,
netscience,20,2,QAP_init,0.543536,420,360,0.15,,
highschool,0,0,Fugal,1,0,0,13.25,,
highschool,0,0,Fugal_init,1,0,0,13.55,,
highschool,0,0,QAP,1,0,0,0.16,,
highschool,0,0,QAP_init,1,0,0,0.06,,
highschool,0,1,Fugal,1,0,0,13.41,,
highschool,0,1,Fugal_init,1,0,0,13.57,,
highschool,0,1,QAP,1,0,0,1.79,,
highschool,0,1,QAP_init,1,0,0,0.91,,
highschool,0,2,Fugal,1,0,0,13.28,,
